month,tprev,tavg,prcp,wspd,pres,pprev,pdiff
2023-12-04 00:00:00,23.2,23.5,0,6,1011.5,1012.3,
2023-12-05 00:00:00,23.5,22.8,0,6.1,1010.5,1011.5,
2023-12-06 00:00:00,22.8,22.2,0,5.6,1011.8,1010.5,
2023-12-07 00:00:00,22.2,21.4,0.4,4.5,1012.6,1011.8,
2023-12-08 00:00:00,21.4,21.8,0,5.2,1013,1012.6,
2023-12-09 00:00:00,21.8,22.2,0,6.2,1013.9,1013,
2023-12-10 00:00:00,22.2,22.2,0,6.1,1013.2,1013.9,
2023-12-11 00:00:00,22.2,22.7,0,4.6,1013.4,1013.2,
2023-12-12 00:00:00,22.7,22.2,0,4.5,1012.4,1013.4,
2023-12-13 00:00:00,22.2,21.6,0,5.5,1013,1012.4,
2023-12-14 00:00:00,21.6,21,0,7.9,1014.7,1013,
2023-12-15 00:00:00,21,20.3,0,7.1,1015.8,1014.7,
2023-12-16 00:00:00,20.3,20.2,0,6.6,1015.2,1015.8,
2023-12-17 00:00:00,20.2,20.7,0,8,1014.6,1015.2,
2023-12-18 00:00:00,20.7,21.1,0,10.1,1015.6,1014.6,
2023-12-19 00:00:00,21.1,20.8,0,9.7,1016.7,1015.6,
2023-12-20 00:00:00,20.8,19.8,0,7,1016.5,1016.7,
2023-12-21 00:00:00,19.8,21,0,5.7,1015.3,1016.5,
2023-12-22 00:00:00,21,21.4,0,4.8,1015.2,1015.3,
2023-12-23 00:00:00,21.4,21,0,6.3,1015.8,1015.2,
2023-12-24 00:00:00,21,20.7,0,6.7,1017.5,1015.8,
2023-12-25 00:00:00,20.7,21.3,0,9.2,1017.2,1017.5,
2023-12-26 00:00:00,21.3,22.2,0,6.7,1016.7,1017.2,
2023-12-27 00:00:00,22.2,21.6,0,6.3,1017,1016.7,
2023-12-28 00:00:00,21.6,21.5,0,6.9,1015.4,1017,
2023-12-29 00:00:00,21.5,21.4,0,5.9,1015.4,1015.4,
2023-12-30 00:00:00,21.4,21,0,5.5,1014.8,1015.4,
2023-12-31 00:00:00,21,22.1,0,6.5,1014.1,1014.8,
2024-01-01 00:00:00,22.1,22,0,5.9,1014.3,1014.1,
2024-01-02 00:00:00,22,22.2,0,5.3,1013.3,1014.3,
2024-01-03 00:00:00,22.2,22.3,0,5.8,1012.5,1013.3,
2024-01-04 00:00:00,22.3,21.7,0,5.2,1012.7,1012.5,
